courier_id,action,order_id,time
1,accept_order,58402,08/09/22 19:42
1,accept_order,57136,08/09/22 15:30
1,accept_order,56382,08/09/22 12:33
1,accept_order,56024,08/09/22 11:10
1,accept_order,55891,08/09/22 10:42
1,accept_order,55677,08/09/22 09:55
1,accept_order,54302,08/09/22 01:59
1,accept_order,52770,07/09/22 20:27
1,accept_order,51714,07/09/22 17:01
1,accept_order,49501,07/09/22 05:09
1,accept_order,48550,06/09/22 22:35
1,accept_order,47694,06/09/22 18:21
1,accept_order,45540,06/09/22 02:26
1,accept_order,40929,05/09/22 04:55
1,accept_order,39856,04/09/22 22:29
1,accept_order,33180,03/09/22 21:23
1,accept_order,26705,02/09/22 20:23
1,accept_order,20865,01/09/22 14:55
1,accept_order,19965,01/09/22 09:53
1,accept_order,19813,01/09/22 09:01
1,accept_order,18612,31/08/22 22:55
1,accept_order,18361,31/08/22 21:32
1,accept_order,16265,31/08/22 09:42
1,accept_order,13373,30/08/22 13:34
1,accept_order,12509,30/08/22 08:13
1,accept_order,11330,29/08/22 22:10
1,accept_order,11225,29/08/22 21:35
1,accept_order,10675,29/08/22 18:59
1,accept_order,9159,29/08/22 09:54
1,accept_order,5180,28/08/22 01:09
1,accept_order,4600,27/08/22 20:21
1,accept_order,4075,27/08/22 16:29
1,accept_order,3927,27/08/22 15:02
1,accept_order,3619,27/08/22 11:36
1,accept_order,2276,26/08/22 18:19
1,accept_order,1964,26/08/22 13:55
1,accept_order,1928,26/08/22 13:20
1,accept_order,1863,26/08/22 12:18
1,accept_order,1425,26/08/22 04:06
1,accept_order,1325,26/08/22 01:09
1,accept_order,1251,25/08/22 23:58
1,accept_order,522,25/08/22 10:51
1,accept_order,233,25/08/22 01:55
1,accept_order,194,25/08/22 00:57
1,accept_order,98,24/08/22 21:53
1,deliver_order,58402,08/09/22 20:03
1,deliver_order,57136,08/09/22 15:52
1,deliver_order,56382,08/09/22 12:53
1,deliver_order,56024,08/09/22 11:33
1,deliver_order,55891,08/09/22 11:01
1,deliver_order,55677,08/09/22 10:13
1,deliver_order,54302,08/09/22 02:22
1,deliver_order,52770,07/09/22 20:45
1,deliver_order,51714,07/09/22 17:23
1,deliver_order,49501,07/09/22 05:28
1,deliver_order,48550,06/09/22 22:54
1,deliver_order,47694,06/09/22 18:45
1,deliver_order,45540,06/09/22 02:42
1,deliver_order,40929,05/09/22 05:09
1,deliver_order,39856,04/09/22 22:53
1,deliver_order,33180,03/09/22 21:44
1,deliver_order,26705,02/09/22 20:44
1,deliver_order,20865,01/09/22 15:22
1,deliver_order,19965,01/09/22 10:10
1,deliver_order,19813,01/09/22 09:23
1,deliver_order,18612,31/08/22 23:09
1,deliver_order,18361,31/08/22 21:50
1,deliver_order,16265,31/08/22 10:05
1,deliver_order,13373,30/08/22 13:59
1,deliver_order,12509,30/08/22 08:35
1,deliver_order,11330,29/08/22 22:30
1,deliver_order,11225,29/08/22 21:55
1,deliver_order,10675,29/08/22 19:17
1,deliver_order,9159,29/08/22 10:17
1,deliver_order,5180,28/08/22 01:32
1,deliver_order,4600,27/08/22 20:38
1,deliver_order,4075,27/08/22 16:50
1,deliver_order,3927,27/08/22 15:23
1,deliver_order,3619,27/08/22 11:57
1,deliver_order,2276,26/08/22 18:41
1,deliver_order,1964,26/08/22 14:15
1,deliver_order,1928,26/08/22 13:42
1,deliver_order,1863,26/08/22 12:35
1,deliver_order,1425,26/08/22 04:25
