courier_id,order_id
1,98
1,194
1,233
1,522
1,1251
1,1325
1,1425
1,1863
1,1928
1,1964
1,2276
1,3619
1,3927
1,4075
1,4600
1,5180
1,9159
1,10675
1,11225
1,11330
1,12509
1,13373
1,16265
1,18361
1,18612
1,19813
1,19965
1,20865
1,26705
1,33180
1,39856
1,40929
1,45540
1,47694
1,48550
1,49501
1,51714
1,52770
1,54302
1,55677
1,55891
1,56024
1,56382
1,57136
1,58402
2,66
2,135
2,346
2,413
2,739
2,1586
2,1976
2,3679
2,4337
2,4536
2,4593
2,4783
2,5486
2,6030
2,7993
2,12737
2,13735
2,14799
2,15074
2,15784
2,16284
2,17196
2,21244
2,21633
2,22194
2,22669
2,23111
2,23162
2,23306
2,25034
2,32149
2,39655
2,43519
2,48122
2,51293
2,59525
3,21
3,138
3,252
3,639
3,909
3,1130
3,1198
3,1754
3,2766
3,3627
3,3734
3,4568
3,5220
3,8542
3,8629
3,9573
3,9827
3,10523
3,11937
3,14169
3,15394
3,17729
3,21869
3,22403
3,22825
3,23528
3,24066
3,25210
3,25977
3,26217
3,30109
3,30946
3,32034
3,34210
3,38844
3,39571
3,39969
3,44703
3,49956
3,50660
3,53118
3,54228
3,57468
3,58078
3,59583
4,379
4,833
4,1034
4,1506
4,2044
4,2446
4,3236
4,3372
4,3828
4,5423
4,5740
4,7349
4,8456
4,9084
4,10902
4,11231
4,11914
4,12409
4,13823
4,14138
4,14863
4,16528
4,18613
4,30017
4,35879
4,37869
4,43323
4,44636
4,45363
4,48401
4,48926
4,50207
4,53847
4,56833
5,50
5,128
5,234
5,395
5,661
5,2282
5,2392
5,3427
5,3653
5,4301
5,4650
5,5646
5,7160
5,7827
5,10166
5,11947
5,12489
5,13528
5,13623
5,14271
5,16429
5,17104
5,18641
5,18758
5,19199
5,20160
5,21846
5,24771
5,25205
5,28497
5,30534
5,32119
5,32509
5,32657
5,34604
5,36433
5,39746
5,42169
5,43989
5,44486
5,44893
5,45691
5,46180
5,51076
5,53979
5,58422
6,333
6,469
6,619
6,2125
6,2211
6,5681
6,5966
6,6367
6,6649
6,8593
6,9528
6,10828
6,11466
6,15684
6,16158
6,17122
6,20293
6,20407
6,20614
6,30561
6,30890
6,31383
6,36105
6,38208
6,42403
6,44290
6,45146
6,46445
6,46778
6,50789
6,53335
7,19
7,377
7,1052
7,1679
7,1706
7,1830
7,1926
7,2194
7,3885
7,4046
7,5262
7,5656
7,6934
7,8242
7,9360
7,9978
7,10189
7,14778
7,15397
7,16001
7,16720
7,18784
7,19297
7,19743
7,22207
7,23845
7,24126
7,26363
7,32018
7,32297
7,32872
7,33698
7,34753
7,41965
7,42986
7,44978
7,46727
7,50454
7,51678
7,53440
7,54059
8,408
8,460
8,838
8,939
8,1434
8,1951
8,2266
8,2915
8,4110
8,5118
8,7858
8,7962
8,8306
8,9534
8,11207
8,14372
8,17958
8,19748
8,20636
8,22210
8,24334
8,25124
8,27404
8,33077
8,33581
8,34625
8,36033
8,36467
8,39080
8,40541
8,44196
8,45649
8,47760
8,51166
8,53295
8,54401
8,56089
8,58461
8,59519
9,516
9,678
9,1027
9,1132
9,2056
9,3295
9,5237
9,5847
9,6088
9,6362
9,9150
9,9531
9,10796
9,14150
9,14800
9,17828
9,19260
9,24081
9,24749
9,24970
9,25088
9,25757
9,29142
9,29914
9,32692
9,35209
9,35505
9,40135
9,41203
9,41730
9,45314
9,46966
9,48749
9,52123
9,57101
9,57958
10,28
10,45
10,197
10,454
10,554
10,682
10,1113
10,3515
10,4441
10,6385
10,7302
10,7977
10,8388
10,9749
10,12166
10,12835
10,14658
10,15011
10,15523
10,16226
10,16547
10,18603
10,21635
10,22165
10,25221
10,28971
10,33665
10,35493
10,38733
10,39349
10,43721
10,44874
10,45407
10,45819
10,51978
10,57572
10,57965
11,281
11,339
11,512
11,718
11,992
11,1291
11,1561
11,1990
11,2560
11,2765
11,4093
11,4260
11,4436
11,4958
11,5000
11,5227
11,5444
11,6932
11,9267
11,11007
11,11513
11,13502
11,14171
11,14881
11,15925
11,17801
11,22564
11,25561
11,26482
11,26830
11,27686
11,34165
11,35971
11,41759
11,42192
11,44533
11,44717
11,46577
11,46640
11,48436
11,49207
11,50664
11,55837
11,58793
12,1
12,1230
12,1293
12,1794
12,1915
12,2240
12,2600
12,5077
12,5235
12,6808
12,10039
12,10235
12,12576
12,14996
12,15208
12,16923
12,18265
12,19610
12,21024
12,22053
12,25387
12,26771
12,30353
12,30743
12,31063
12,31426
12,31609
12,31830
12,38056
12,41116
12,41409
12,41936
12,42141
12,43244
12,43460
12,45284
12,45711
12,57387
12,58014
