user_id,order_id,time
16721,45201,06/09/22 00:01
17299,45202,06/09/22 00:01
7957,45203,06/09/22 00:01
17300,45204,06/09/22 00:02
14723,45205,06/09/22 00:03
3553,45206,06/09/22 00:03
17301,45207,06/09/22 00:03
6261,45208,06/09/22 00:03
17302,45209,06/09/22 00:03
13966,45210,06/09/22 00:04
420,45211,06/09/22 00:04
13447,45212,06/09/22 00:04
9436,45213,06/09/22 00:04
8082,45214,06/09/22 00:06
13619,45215,06/09/22 00:06
10356,45216,06/09/22 00:07
17303,45217,06/09/22 00:07
17304,45218,06/09/22 00:08
17305,45219,06/09/22 00:08
17306,45220,06/09/22 00:09
9315,45221,06/09/22 00:09
16019,45222,06/09/22 00:09
17307,45223,06/09/22 00:10
14540,45224,06/09/22 00:11
7411,45225,06/09/22 00:11
6307,45226,06/09/22 00:11
17308,45227,06/09/22 00:11
12036,45228,06/09/22 00:12
14537,45229,06/09/22 00:12
7806,45230,06/09/22 00:12
1494,45231,06/09/22 00:12
17309,45232,06/09/22 00:13
1494,45233,06/09/22 00:13
6426,45234,06/09/22 00:13
15571,45235,06/09/22 00:14
16561,45236,06/09/22 00:15
17310,45237,06/09/22 00:16
12379,45238,06/09/22 00:16
17311,45239,06/09/22 00:16
12956,45240,06/09/22 00:16
17312,45241,06/09/22 00:17
12379,45242,06/09/22 00:17
17313,45243,06/09/22 00:18
6735,45244,06/09/22 00:18
17156,45245,06/09/22 00:19
17314,45246,06/09/22 00:19
17315,45247,06/09/22 00:19
12335,45248,06/09/22 00:19
17316,45249,06/09/22 00:20
9596,45250,06/09/22 00:20
15907,45251,06/09/22 00:20
2059,45252,06/09/22 00:20
7124,45253,06/09/22 00:20
12222,45254,06/09/22 00:21
17317,45255,06/09/22 00:21
8453,45256,06/09/22 00:22
16469,45257,06/09/22 00:22
17311,45258,06/09/22 00:22
17318,45259,06/09/22 00:23
10859,45260,06/09/22 00:23
8990,45261,06/09/22 00:23
1842,45262,06/09/22 00:24
17319,45263,06/09/22 00:24
17320,45264,06/09/22 00:24
17321,45265,06/09/22 00:24
17322,45266,06/09/22 00:25
10505,45267,06/09/22 00:25
16953,45268,06/09/22 00:25
17322,45269,06/09/22 00:26
17323,45270,06/09/22 00:27
16953,45271,06/09/22 00:28
770,45272,06/09/22 00:28
770,45273,06/09/22 00:28
12244,45274,06/09/22 00:29
17323,45275,06/09/22 00:29
17324,45276,06/09/22 00:29
7683,45277,06/09/22 00:30
15760,45278,06/09/22 00:30
9550,45279,06/09/22 00:30
17325,45280,06/09/22 00:30
10288,45281,06/09/22 00:31
7028,45282,06/09/22 00:31
17326,45283,06/09/22 00:32
12419,45284,06/09/22 00:32
7521,45285,06/09/22 00:33
17327,45286,06/09/22 00:33
9550,45287,06/09/22 00:33
12419,45288,06/09/22 00:33
17328,45289,06/09/22 00:33
17329,45290,06/09/22 00:33
17330,45291,06/09/22 00:34
17325,45292,06/09/22 00:34
4941,45293,06/09/22 00:34
16238,45294,06/09/22 00:34
4403,45295,06/09/22 00:34
10701,45296,06/09/22 00:35
13600,45297,06/09/22 00:35
12346,45298,06/09/22 00:35
17331,45299,06/09/22 00:36
17332,45300,06/09/22 00:36
17333,45301,06/09/22 00:36
10701,45302,06/09/22 00:36
1942,45303,06/09/22 00:36
10558,45304,06/09/22 00:37
9674,45305,06/09/22 00:38
11366,45306,06/09/22 00:38
17334,45307,06/09/22 00:38
10701,45308,06/09/22 00:38
17335,45309,06/09/22 00:39
17336,45310,06/09/22 00:39
4603,45311,06/09/22 00:39
5625,45312,06/09/22 00:40
8465,45313,06/09/22 00:40
5061,45314,06/09/22 00:40
17337,45315,06/09/22 00:40
5625,45316,06/09/22 00:41
17338,45317,06/09/22 00:41
17339,45318,06/09/22 00:41
17017,45319,06/09/22 00:42
15862,45320,06/09/22 00:43
17340,45321,06/09/22 00:43
17339,45322,06/09/22 00:44
17341,45323,06/09/22 00:44
17342,45324,06/09/22 00:45
1098,45325,06/09/22 00:45
118,45326,06/09/22 00:45
7447,45327,06/09/22 00:45
3416,45328,06/09/22 00:46
17343,45329,06/09/22 00:46
2854,45330,06/09/22 00:46
17344,45331,06/09/22 00:47
17345,45332,06/09/22 00:47
3085,45333,06/09/22 00:47
17346,45334,06/09/22 00:47
16561,45335,06/09/22 00:48
10018,45336,06/09/22 00:48
17347,45337,06/09/22 00:48
10383,45338,06/09/22 00:48
7447,45339,06/09/22 00:48
15097,45340,06/09/22 00:49
10383,45341,06/09/22 00:49
5339,45342,06/09/22 00:50
13785,45343,06/09/22 00:50
16258,45344,06/09/22 00:50
6055,45345,06/09/22 00:50
6138,45346,06/09/22 00:50
16465,45347,06/09/22 00:50
12581,45348,06/09/22 00:51
16489,45349,06/09/22 00:51
14981,45350,06/09/22 00:51
16489,45351,06/09/22 00:51
2315,45352,06/09/22 00:52
12700,45353,06/09/22 00:52
8395,45354,06/09/22 00:53
2315,45355,06/09/22 00:53
6055,45356,06/09/22 00:53
4419,45357,06/09/22 00:54
7396,45358,06/09/22 00:54
16465,45359,06/09/22 00:54
1818,45360,06/09/22 00:54
4574,45361,06/09/22 00:55
2229,45362,06/09/22 00:55
11103,45363,06/09/22 00:56
10981,45364,06/09/22 00:56
10981,45365,06/09/22 00:56
4574,45366,06/09/22 00:56
15276,45367,06/09/22 00:57
5397,45368,06/09/22 00:57
14281,45369,06/09/22 00:58
3613,45370,06/09/22 00:58
14281,45371,06/09/22 00:58
6571,45372,06/09/22 00:59
6148,45373,06/09/22 00:59
3495,45374,06/09/22 01:00
13778,45375,06/09/22 01:00
17348,45376,06/09/22 01:00
17349,45377,06/09/22 01:00
8382,45378,06/09/22 01:00
150,45379,06/09/22 01:01
8960,45380,06/09/22 01:01
12857,45381,06/09/22 01:02
17350,45382,06/09/22 01:02
16291,45383,06/09/22 01:02
2376,45384,06/09/22 01:02
12857,45385,06/09/22 01:02
10437,45386,06/09/22 01:02
12857,45387,06/09/22 01:03
17351,45388,06/09/22 01:03
3495,45389,06/09/22 01:04
11834,45390,06/09/22 01:04
1986,45391,06/09/22 01:05
9824,45392,06/09/22 01:05
8375,45393,06/09/22 01:06
17352,45394,06/09/22 01:06
11010,45395,06/09/22 01:06
9886,45396,06/09/22 01:07
16016,45397,06/09/22 01:07
17353,45398,06/09/22 01:07
17353,45399,06/09/22 01:07
11632,45400,06/09/22 01:07
2131,45401,06/09/22 01:08
206,45402,06/09/22 01:09
14971,45403,06/09/22 01:09
10127,45404,06/09/22 01:09
17352,45405,06/09/22 01:09
17354,45406,06/09/22 01:09
11632,45407,06/09/22 01:09
152,45408,06/09/22 01:10
10674,45409,06/09/22 01:10
14328,45410,06/09/22 01:10
17355,45411,06/09/22 01:10
17356,45412,06/09/22 01:11
643,45413,06/09/22 01:12
9367,45414,06/09/22 01:12
12904,45415,06/09/22 01:12
9006,45416,06/09/22 01:14
17357,45417,06/09/22 01:15
14878,45418,06/09/22 01:15
17358,45419,06/09/22 01:15
8453,45420,06/09/22 01:15
17359,45421,06/09/22 01:16
205,45422,06/09/22 01:16
3507,45423,06/09/22 01:16
3416,45424,06/09/22 01:17
11227,45425,06/09/22 01:18
17360,45426,06/09/22 01:19
10387,45427,06/09/22 01:19
13293,45428,06/09/22 01:20
17361,45429,06/09/22 01:20
1845,45430,06/09/22 01:21
17362,45431,06/09/22 01:22
17363,45432,06/09/22 01:22
17364,45433,06/09/22 01:22
9535,45434,06/09/22 01:23
10838,45435,06/09/22 01:24
17365,45436,06/09/22 01:25
11039,45437,06/09/22 01:25
5940,45438,06/09/22 01:27
11902,45439,06/09/22 01:27
13137,45440,06/09/22 01:28
3325,45441,06/09/22 01:28
5940,45442,06/09/22 01:28
17197,45443,06/09/22 01:29
15269,45444,06/09/22 01:29
4793,45445,06/09/22 01:30
17366,45446,06/09/22 01:30
17367,45447,06/09/22 01:30
7734,45448,06/09/22 01:30
17367,45449,06/09/22 01:30
17368,45450,06/09/22 01:32
7125,45451,06/09/22 01:32
17369,45452,06/09/22 01:32
