user_id,order_id,action,time
8117,17307,cancel_order,31/08/22 15:59
8107,17282,cancel_order,31/08/22 15:50
1495,17272,cancel_order,31/08/22 15:46
7427,17252,cancel_order,31/08/22 15:38
3207,17231,cancel_order,31/08/22 15:33
8077,17218,cancel_order,31/08/22 15:30
3446,17216,cancel_order,31/08/22 15:28
8076,17214,cancel_order,31/08/22 15:26
6116,17190,cancel_order,31/08/22 15:17
8057,17151,cancel_order,31/08/22 15:02
8041,17117,cancel_order,31/08/22 14:49
4363,17112,cancel_order,31/08/22 14:46
7337,17090,cancel_order,31/08/22 14:35
5596,17077,cancel_order,31/08/22 14:33
2984,17035,cancel_order,31/08/22 14:16
7993,17006,cancel_order,31/08/22 14:02
7971,16936,cancel_order,31/08/22 13:38
895,16933,cancel_order,31/08/22 13:38
7955,16889,cancel_order,31/08/22 13:24
7178,16872,cancel_order,31/08/22 13:18
6814,16871,cancel_order,31/08/22 13:17
5531,16861,cancel_order,31/08/22 13:15
7941,16836,cancel_order,31/08/22 13:06
7931,16828,cancel_order,31/08/22 13:03
7924,16810,cancel_order,31/08/22 12:54
7921,16802,cancel_order,31/08/22 12:51
7920,16800,cancel_order,31/08/22 12:50
4449,16771,cancel_order,31/08/22 12:38
2139,16758,cancel_order,31/08/22 12:38
6135,16750,cancel_order,31/08/22 12:33
7896,16749,cancel_order,31/08/22 12:34
7895,16744,cancel_order,31/08/22 12:32
2802,16738,cancel_order,31/08/22 12:29
1290,16735,cancel_order,31/08/22 12:31
7882,16718,cancel_order,31/08/22 12:21
7,7,cancel_order,24/08/22 14:06
